"","tSI.BW.CP","tSI.QC.CP","tSI.VA.CP","tSI.VG.CP","tSI.VK.CP","tSI.VL.CP","tSI.VP.CP","tSI.VSk.CP","tSI.VR.CP","tSI.VFil.CP","tSI.QA.CP","tSI.QG.CP","tSI.QK.CP","tSI.QL.CP","tSI.QSk.CP","tSI.QR.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.PA.CP","tSI.PG.CP","tSI.PK.CP","tSI.PL.CP","tSI.PSk.CP","tSI.PR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","tSI.fup.CP","Times","Year"
"41.01",0.00186026019711727,0.000647587671113836,0.315403093398275,0.000557451022658917,0.000857499647710869,0.00507502737083565,0.186116422933098,0.0168983562632613,0.0647020063640509,0.000896268550174772,0.000810041565531994,0.00107161586099591,0.000656244914570281,0.00169511761276342,0.00388027943349678,0.00560985118718471,0.00114003841430044,0.000741165637641927,0.275646749750486,0.00236346116514097,0.000841590002221948,0.0045714390390027,0.00937616608068492,0.0512218513345164,0.00153602665660946,0.00170764072641483,0.00125065708921224,0.00101870606079757,41.01,0.00468150684931507
"42.01",0.00186019815944094,0.000647637072092366,0.315403033404373,0.000557454644595112,0.00085750093854875,0.00507501496831531,0.186116449012699,0.0168995179034321,0.0646984404106326,0.000896271346459976,0.000810022349830963,0.00107154896043959,0.000656259970533868,0.00169510261258732,0.00388025597837671,0.00561015695555145,0.00114005701005138,0.000741178336126636,0.275652171783009,0.00236428680066769,0.000841595647878779,0.00457153855430315,0.00937614421078148,0.0512228280809813,0.00153604233356519,0.0017076516500476,0.00125072662691628,0.00101873799029295,42.01,0.00479566210045662
"43.01",0.00186013613310998,0.000647686504382183,0.315402972762931,0.000557458274489164,0.0008575022389673,0.0050750025717915,0.186116474793862,0.0169006796979415,0.0646948744956147,0.000896274165537392,0.000810003146681559,0.00107148212870589,0.000656275040365251,0.00169508763100157,0.00388023253853287,0.00561046277809751,0.00114007562738916,0.00074119104956305,0.275657593749643,0.00236511576572707,0.000841601319011454,0.00457163811016381,0.00937612234978169,0.0512238045883515,0.00153605803527745,0.0017076626203143,0.00125079710315634,0.00101876993949157,43.01,0.00490981735159817
"44.01",0.0018600741181275,0.000647735967983287,0.315402911473971,0.000557461912340074,0.000857503548975513,0.00507499018124902,0.186116500276642,0.0169018416467807,0.0646913086190485,0.000896277007403357,0.000809983956080673,0.00107141536578903,0.000656290124061321,0.00169507266801927,0.00388020911394005,0.00561076865479992,0.00114009426632389,0.000741203777957611,0.275663015650437,0.00236594806071877,0.000841607015628298,0.00457173770661712,0.00937610049766724,0.0512247808564719,0.00153607376174159,0.00170767363722546,0.00125086851802947,0.00101880190838977,44.01,0.00502397260273973
"45.01",0.00186001211449405,0.000647785462906114,0.315402849537358,0.000557465558140846,0.000857504868572057,0.00507497779669375,0.186116525460879,0.0169030037499863,0.064687742781085,0.000896279872070749,0.000809964778015537,0.00107134867169323,0.000656305221623965,0.00169505772363132,0.0038801857046018,0.0056110745856538,0.00114011292684657,0.00074121652131276,0.275668437485275,0.00236678368604937,0.000841612737736752,0.00457183734366018,0.00937607865446255,0.0512257568853577,0.00153608951295958,0.00170768470076521,0.00125094087163313,0.00101883389699808,45.01,0.00513812785388128
"46.01",0.00185995012222417,0.000647834989155549,0.315402786953047,0.000557469211899919,0.000857506197757818,0.00507496541814179,0.186116550346622,0.0169041660075379,0.0646841769815831,0.000896282759537015,0.000809945612498364,0.00107128204643059,0.000656320333066729,0.00169504279784305,0.00388016231053245,0.00561138057070598,0.00114013160895221,0.00074122927962661,0.275673859254133,0.00236762264212298,0.000841618485327933,0.00457193702129233,0.00937605682015763,0.0512267326749114,0.00153610528892567,0.00170769581096308,0.00125101416406248,0.00101886590531686,46.01,0.00525228310502283
"47.01",0.001859888141303,0.000647884546729038,0.315402723721051,0.000557472873621956,0.000857507536529467,0.00507495304559114,0.186116574933812,0.0169053284195225,0.0646806112205779,0.000896285669794383,0.000809926459527155,0.00107121548998024,0.000656335458388058,0.00169502789065989,0.00388013893174088,0.00561168660994005,0.00114015031264991,0.000741242052907043,0.27567928095693,0.00236846492932929,0.000841624258412388,0.00457203673948259,0.00937603499475992,0.0512277082251571,0.00153612108965828,0.00170770696781475,0.00125108839540666,0.00101889793335208,47.01,0.00536643835616438
"48.01",0.00185982617173452,0.000647934135632355,0.315402659841245,0.000557476543302071,0.000857508884891667,0.00507494067903314,0.186116599222465,0.0169064909859258,0.0646770454982113,0.000896288602855289,0.000809907319101466,0.00107114900233618,0.000656350597584177,0.00169501300207298,0.00388011556821599,0.0056119927033732,0.00114016903794134,0.000741254841154504,0.275684702593649,0.00236931054807488,0.000841630056988785,0.00457213649823751,0.00937601317826409,0.0512286835359819,0.00153613691516263,0.00170771817134474,0.00125116356576138,0.0010189299810961,48.01,0.00548059360730594
"49.01",0.0018597642135153,0.000647983755866166,0.315402595313481,0.000557480220939377,0.000857510242845305,0.00507492831846168,0.186116623212476,0.0169076537067913,0.0646734798144295,0.000896291558715956,0.000809888191228958,0.00107108258350586,0.000656365750661858,0.00169499813209029,0.00388009221996521,0.00561229885102843,0.00114018778484493,0.000741267644360777,0.27569012416403,0.00237015949875519,0.000841635881063674,0.00457223629760217,0.00937599137063994,0.051229658607211,0.0015361527654405,0.0017077294215363,0.00125123967522556,0.00101896204855645,49.01,0.00559474885844749
"50.01",0.00185970226665311,0.0006480334074217,0.315402530137709,0.000557483906536094,0.000857511610396822,0.00507491596390186,0.186116646903815,0.0169088165821506,0.0646699141693247,0.000896294537371722,0.000809869075906522,0.00107101623348504,0.000656380917618882,0.00169498328070417,0.00388006888697712,0.00561260505291261,0.00114020655334679,0.00074128046253441,0.275695545668235,0.00237101178177312,0.000841641730637943,0.00457233613758212,0.009375969571911,0.0512306334388891,0.00153616864049788,0.00170774071837909,0.00125131672388912,0.00101899413575068,50.01,0.00570890410958904
