"","tSI.BW.CP","tSI.VK.CP","tSI.VFil.CP","tSI.QK.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.PA.CP","tSI.PG.CP","tSI.PK.CP","tSI.PL.CP","tSI.PSk.CP","tSI.PR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","tSI.fup.CP","Times","Year"
"23044.01",0.0184105694950944,0.0201603001500493,0.0207789703716932,0.019964649447677,0.371772637740385,0.467016575297156,0.12554096252973,0.0206106969474654,0.40263356420524,0.034830209794783,0.0308848039927959,0.0316724996716624,0.320967623433616,0.027966310134307,0.0220739974050298,0.0585986564005329,23044.01,2.63059474885845
"23045.01",0.0184115376188263,0.0201612591487131,0.020779701701659,0.0199656713723805,0.371778011148181,0.467022965507058,0.125545800191956,0.0206115638080679,0.402640938066541,0.0348315432082068,0.0308858525870764,0.0316740865559145,0.320972840392571,0.0279672093632564,0.0220748164286814,0.0585997488447493,23045.01,2.63070890410959
"23046.01",0.01841250579012,0.0201622181959355,0.0207804330598979,0.0199666933635648,0.371783384655458,0.467029355790835,0.12555063801331,0.0206124307132123,0.402648311990888,0.0348328767075501,0.0308869012466505,0.0316756735401936,0.320978057452451,0.0279681086232178,0.0220756355068859,0.0586008413457897,23046.01,2.63082305936073
"23047.01",0.0184134740089744,0.0201631772917174,0.0207811644464083,0.0199677154212318,0.371788758262204,0.467035746148465,0.125555475993792,0.0206132976628978,0.402655685978261,0.0348342102928153,0.0308879499715193,0.0316772606244996,0.320983274613243,0.0279690079141901,0.0220764546396438,0.058601933903653,23047.01,2.63093721461187
"23048.01",0.0184144422753888,0.0201641364360612,0.02078189586119,0.0199687375453822,0.3717941319684,0.467042136579925,0.125560314133403,0.0206141646571241,0.402663060028634,0.0348355439640032,0.0308889987616838,0.031678847808836,0.320988491874938,0.0279699072361728,0.0220772738269539,0.0586030265183386,23048.01,2.63105136986301
"23049.01",0.0184154105893641,0.0201650956289652,0.0207826273042435,0.0199697597360164,0.371799505774044,0.467048527085194,0.125565152432142,0.0206150316958937,0.402670434141985,0.0348368777211149,0.030890047617145,0.0316804350932065,0.320993709237528,0.0279708065891667,0.022078093068816,0.0586041191898453,23049.01,2.63116552511416
"23050.01",0.018416378950902,0.0201660548704327,0.0207833587755674,0.0199707819931359,0.371804879679122,0.467054917664253,0.125569990890006,0.0206158987792086,0.402677808318297,0.0348382115641494,0.0308910965379034,0.0316820224776127,0.320998926701,0.027971705973172,0.0220789123652292,0.0586052119181702,23050.01,2.6312796803653
"23051.01",0.0184173473600002,0.0201670141604623,0.0207840902751612,0.0199718043167422,0.371810253683621,0.467061308317083,0.125574829506998,0.0206167659070677,0.402685182557553,0.0348395454931059,0.0308921455239615,0.0316836099620539,0.32100414426534,0.0279726053881918,0.0220797317161942,0.0586063047033137,23051.01,2.63139383561644
"23052.01",0.0184183158166596,0.0201679734990553,0.0207848218030232,0.0199728267068373,0.371815627787527,0.467067699043668,0.125579668283124,0.0206176330794728,0.402692556859732,0.0348408795079852,0.0308931945753206,0.0316851975465325,0.321009361930538,0.0279735048342225,0.0220805511217138,0.0586073975452754,23052.01,2.63150799086758
"23053.01",0.0184192843208803,0.0201689328862144,0.020785553359155,0.019973849163419,0.371821001990836,0.467074089843987,0.125584507218384,0.0206185002964216,0.402699931224809,0.0348422136087929,0.0308942436919787,0.0316867852310532,0.321014579696585,0.0279744043112648,0.022081370581788,0.0586084904440533,23053.01,2.63162214611872
"23054.01",0.0184202528726622,0.0201698923219403,0.0207862849435563,0.0199748716864891,0.371826376293532,0.467080480718015,0.125589346312779,0.0206193675579168,0.402707305652769,0.0348435477955282,0.0308952928739401,0.0316883730156175,0.32101979756347,0.0279753038193214,0.0220821900964161,0.0586095833996454,23054.01,2.63173630136986
"23055.01",0.0184212214720029,0.0201708518062313,0.0207870165562247,0.0199758942760486,0.371831750695602,0.467086871665736,0.125594185566309,0.0206202348639605,0.40271468014359,0.0348448820681917,0.0308963421212064,0.0316899609002246,0.321025015531181,0.0279762033583904,0.0220830096655989,0.0586106764120506,23055.01,2.631850456621
"23056.01",0.0184221901189027,0.0201718113390905,0.0207877481971591,0.0199769169320978,0.371837125197035,0.467093262687128,0.125599024978972,0.0206211022145514,0.402722054697251,0.0348462164267823,0.0308973914337786,0.0316915488848773,0.321030233599706,0.0279771029284734,0.0220838292893344,0.0586117694812678,23056.01,2.63196461187215
"23057.01",0.0184231588133636,0.020172770920518,0.0207884798663576,0.0199779396546385,0.371842499797821,0.467099653782173,0.125603864550771,0.0206219696096924,0.402729429313732,0.0348475508713007,0.0308984408116567,0.0316931369695748,0.321035451769038,0.027978002529569,0.0220846489676246,0.0586128626072953,23057.01,2.63207876712329
"23058.01",0.0184241275553838,0.0201737305505162,0.0207892115638237,0.0199789624436712,0.371847874497952,0.46710604495085,0.125608704281707,0.0206228370493835,0.402736803993011,0.0348488854017493,0.030899490254842,0.0316947251543217,0.321040670039162,0.0279789021616778,0.0220854687004691,0.0586139557901322,23058.01,2.63219292237443
"23059.01",0.0184250963449622,0.0201746902290881,0.0207899432895542,0.0199799852991971,0.371853249297414,0.467112436193143,0.125613544171783,0.0206237045336248,0.402744178735067,0.0348502200181298,0.0309005397633374,0.0316963134391198,0.321045888410069,0.0279798018247999,0.0220862884878677,0.0586150490297787,23059.01,2.63230707762557
"23060.01",0.0184260651821003,0.0201756499562316,0.0207906750435489,0.0199810082212158,0.371858624196195,0.467118827509025,0.125618384220997,0.0206245720624175,0.402751553539881,0.0348515547204419,0.0309015893371434,0.0316979018239715,0.321051106881748,0.0279807015189358,0.0220871083298198,0.0586161423262313,23060.01,2.63242123287671
"23061.01",0.0184270340667985,0.0201766097319487,0.0207914068258086,0.0199820312097259,0.371863999194285,0.467125218898477,0.125623224429353,0.0206254396357631,0.402758928407434,0.034852889508687,0.0309026389762604,0.0316994903088792,0.321056325454192,0.0279816012440872,0.0220879282263275,0.0586172356794893,23061.01,2.63253538812785
"23062.01",0.0184280029990572,0.0201775695562381,0.0207921386363339,0.0199830542647316,0.371869374291669,0.467131610361478,0.125628064796851,0.0206263072536615,0.402766303337705,0.0348542243828641,0.0309036886806906,0.0317010788938436,0.321061544127385,0.0279825010002493,0.0220887481773895,0.0586183290895506,23062.01,2.632649543379
"23063.01",0.0184289719788743,0.0201785294291021,0.02079287047512,0.0199840773862346,0.371874749488339,0.467138001898011,0.125632905323491,0.0206271749161143,0.402773678330673,0.034855559342973,0.0309047384504337,0.0317026675788693,0.321066762901316,0.0279834007874243,0.0220895681830053,0.0586194225564126,23063.01,2.63276369863014
"23064.01",0.0184299410062502,0.0201794893505416,0.0207936023421657,0.0199851005742333,0.371880124784279,0.467144393508059,0.125637746009272,0.0206280426231235,0.402781053386319,0.0348568943890171,0.0309057882854921,0.0317042563639547,0.321071981775977,0.0279843006056135,0.0220903882431766,0.0586205160800751,23064.01,2.63287785388128
"23065.01",0.0184309100811857,0.0201804493205582,0.0207943342374734,0.0199861238287309,0.371885500179481,0.467150785191604,0.125642586854193,0.0206289103746891,0.402788428504618,0.0348582295209952,0.0309068381858664,0.0317058452491028,0.321077200751354,0.0279852004548154,0.0220912083579041,0.0586216096605371,23065.01,2.63299200913242
"23066.01",0.0184318792036783,0.020181409339154,0.020795066161045,0.0199871471497281,0.371890875673936,0.467157176948619,0.125647427858265,0.0206297781708112,0.402795803685551,0.0348595647389086,0.0309078881515584,0.0317074342343162,0.321082419827439,0.0279861003350312,0.0220920285271867,0.0586227032977977,23066.01,2.63310616438356
"23067.01",0.0184328483737301,0.0201823694063294,0.0207957981128786,0.0199881705372261,0.371896251267636,0.467163568779086,0.12565226902148,0.0206306460114894,0.402803178929097,0.0348609000427585,0.0309089381825713,0.0317090233195971,0.321087639004223,0.0279870002462608,0.0220928487510242,0.0586237969918553,23067.01,2.6332203196347
"23068.01",0.018433817591342,0.0201833295220869,0.0207965300929721,0.0199891939912244,0.371901626960563,0.467169960682983,0.125657110343843,0.0206315138967267,0.402810554235236,0.0348622354325439,0.0309099882789028,0.0317106125049457,0.321092858281692,0.0279879001885056,0.022093669029418,0.0586248907427118,23068.01,2.63333447488584
"23069.01",0.0184347868565104,0.0201842896864233,0.020797262101325,0.0199902175117246,0.371907002752704,0.46717635266029,0.125661951825352,0.0206323818265215,0.402817929603949,0.0348635709082689,0.0309110384405558,0.0317122017903635,0.321098077659832,0.027988800161764,0.0220944893623681,0.0586259845503626,23069.01,2.63344863013699
"23070.01",0.0184357561692361,0.0201852498993433,0.0207979941379378,0.0199912410987265,0.371912378644053,0.46718274471099,0.125666793466009,0.020633249800877,0.40282530503522,0.0348649064699359,0.0309120886675327,0.0317137911758554,0.321103297138632,0.0279897001660373,0.0220953097498741,0.0586270784148065,23070.01,2.63356278538813
"23071.01",0.0184367255295208,0.0201862101608457,0.0207987262028082,0.0199922647522311,0.371917754634597,0.46718913683506,0.125671635265819,0.0206341178197931,0.402832680529024,0.0348662421175424,0.0309131389598347,0.0317153806614205,0.321108516718084,0.0279906002013236,0.0220961301919348,0.0586281723360407,23071.01,2.63367694063927
"23072.01",0.0184376949373642,0.0201871704709313,0.0207994582959363,0.0199932884722387,0.371923130724326,0.467195529032488,0.125676477224779,0.0206349858832715,0.402840056085342,0.0348675778510887,0.0309141893174617,0.0317169702470647,0.321113736398182,0.0279915002676251,0.0220969506885521,0.0586292663140652,23072.01,2.63379109589041
"23073.01",0.0184386643927649,0.0201881308296022,0.0208001904173211,0.0199943122587504,0.371928506913226,0.467201921303249,0.12568131934289,0.0206358539913122,0.402847431704152,0.034868913670577,0.0309152397404153,0.0317185599327873,0.321118956178913,0.0279924003649409,0.0220977712397269,0.0586303603488785,23073.01,2.63390525114155
"23074.01",0.0184396338957218,0.0201890912368581,0.020800922566961,0.0199953361117661,0.371933883201285,0.467208313647322,0.125686161620154,0.0206367221439159,0.402854807385433,0.0348702495760091,0.0309162902286966,0.0317201497185908,0.321124176060264,0.0279933004932719,0.0220985918454582,0.05863145444048,23074.01,2.63401940639269
"23075.01",0.0184406034462365,0.0201900516927024,0.0208016547448581,0.0199963600312891,0.371939259588488,0.467214706064686,0.125691004056574,0.0206375903410825,0.402862183129165,0.0348715855673839,0.0309173407823045,0.031721739604475,0.321129396042221,0.0279942006526186,0.0220994125057466,0.0586325485888672,23075.01,2.63413356164384
"23076.01",0.0184415730443101,0.0201910121971358,0.0208023869510116,0.0199973840173186,0.371944636074831,0.467221098555321,0.125695846652148,0.020638458582812,0.40286955893533,0.0348729216447032,0.0309183914012409,0.031723329590443,0.321134616124775,0.0279951008429817,0.0221002332205914,0.058633642794041,23076.01,2.63424771689498
"23077.01",0.0184425426899413,0.0201919727501587,0.0208031191854193,0.0199984080698549,0.371950012660304,0.467227491119208,0.125700689406878,0.0206393268691083,0.402876934803905,0.0348742578079671,0.0309194420855108,0.031724919676497,0.321139836307915,0.0279960010643602,0.0221010539899942,0.0586347370560004,23077.01,2.63436187214612
"23078.01",0.0184435123831282,0.0201929333517703,0.0208038514480812,0.0199994321888999,0.371955389344895,0.467233883756328,0.125705532320761,0.020640195199972,0.402884310734868,0.0348755940571744,0.0309204928351148,0.0317265098626375,0.321145056591636,0.0279969013167525,0.0221018748139541,0.0586358313747421,23078.01,2.63447602739726
"23079.01",0.0184444821238719,0.0201938940019728,0.0208045837389959,0.0200004563744543,0.371960766128589,0.467240276466658,0.125710375393802,0.0206410635754023,0.402891686728199,0.0348769303923284,0.0309215436500511,0.0317281001488679,0.321150276975922,0.0279978016001594,0.0221026956924732,0.0586369257502622,23079.01,2.6345901826484
"23080.01",0.018445451912171,0.0201948547007672,0.0208053160581635,0.0200014806265178,0.371966143011373,0.46724666925018,0.125715218626001,0.0206419319954006,0.402899062783879,0.0348782668134311,0.0309225945303225,0.0317296905351889,0.321155497460762,0.0279987019145847,0.0221035166255503,0.0586380201825611,23080.01,2.63470433789954
"23081.01",0.0184464217480258,0.0201958154481543,0.0208060484055858,0.0200025049450937,0.371971519993238,0.467253062106871,0.125720062017361,0.020642800459968,0.40290643890189,0.0348796033204803,0.0309236454759302,0.0317312810216048,0.321160718046145,0.0279996022600248,0.0221043376131848,0.0586391146716399,23081.01,2.63481849315068
"23082.01",0.0184473916314367,0.020196776244137,0.0208067807812592,0.0200035293301833,0.371976897074172,0.467259455036716,0.125724905567881,0.020643668969104,0.402913815082214,0.0348809399134754,0.0309246964868774,0.0317328716081172,0.321165938732059,0.0280005026364796,0.0221051586553767,0.058640209217496,23082.01,2.63493264840183
"23083.01",0.0184483615624045,0.0201977370887138,0.0208075131851829,0.0200045537817864,0.371982274254167,0.467265848039696,0.125729749277561,0.0206445375228112,0.402921191324824,0.0348822765924177,0.0309257475631648,0.031734462294728,0.321171159518495,0.0280014030439486,0.0221059797521273,0.0586413038201293,23083.01,2.63504680365297
"23084.01",0.0184493315409287,0.0201986979818865,0.0208082456173584,0.0200055782999021,0.371987651533207,0.467272241115789,0.125734593146402,0.0206454061210899,0.402928567629705,0.0348836133573125,0.0309267987047914,0.0317360530814377,0.32117638040544,0.0280023034824344,0.022106800903436,0.0586423984795369,23084.01,2.63516095890411
"23085.01",0.0184503015670094,0.0201996589236556,0.0208089780777831,0.0200066028845325,0.371993028911282,0.467278634264972,0.125739437174405,0.0206462747639398,0.402935943996832,0.0348849502081605,0.0309278499117592,0.0317376439682508,0.321181601392887,0.028003203951937,0.0221076221093018,0.0586434931957181,23085.01,2.63527511415525
"23086.01",0.0184512716406457,0.0202006199140257,0.0208097105664579,0.0200076275356793,0.371998406388383,0.467285027487225,0.125744281361571,0.0206471434513626,0.402943320426186,0.0348862871449611,0.0309289011840678,0.0317392349551669,0.321186822480825,0.0280041044524564,0.0221084433697249,0.0586445879686712,23086.01,2.63538926940639
"23087.01",0.0184522417618367,0.020201580952993,0.020810443083382,0.0200086522533427,0.372003783964497,0.467291420782529,0.1257491257079,0.0206480121833591,0.402950696917747,0.0348876241677118,0.030929952521719,0.031740826042186,0.321192043669243,0.0280050049839934,0.0221092646847061,0.0586456827983946,23087.01,2.63550342465753
"23088.01",0.0184532119305821,0.0202025420405622,0.0208111756285548,0.0200096770375215,0.372009161639614,0.467297814150869,0.125753970213395,0.02064888095993,0.402958073471493,0.0348889612764151,0.0309310039247177,0.0317424172293096,0.321197264958127,0.028005905546547,0.0221100860542468,0.0586467776848882,23088.01,2.63561757990868
"23089.01",0.0184541821468835,0.0202035031767319,0.0208119082019749,0.0200107018882177,0.372014539413722,0.46730420759222,0.125758814878057,0.0206497497810751,0.402965450087406,0.0348902984710751,0.0309320553930629,0.0317440085165421,0.321202486347466,0.0280068061401153,0.0221109074783474,0.0586478726281491,23089.01,2.63573173515982
"23090.01",0.0184551524107408,0.0202044643615021,0.0208126408036423,0.0200117268054326,0.372019917286809,0.467310601106563,0.125763659701883,0.020650618646795,0.402972826765461,0.0348916357516903,0.0309331069267548,0.0317455999038865,0.321207707837249,0.0280077067647017,0.0221117289570063,0.0586489676281766,23090.01,2.63584589041096
"23091.01",0.0184561227221522,0.0202054255948765,0.0208133734335552,0.0200127517891682,0.372025295258862,0.467316994693881,0.125768504684879,0.0206514875570929,0.402980203505639,0.0348929731182597,0.0309341585257947,0.0317471913913459,0.321212929427468,0.0280086074203047,0.0221125504902234,0.0586500626849684,23091.01,2.6359600456621
"23092.01",0.0184570930811188,0.0202063868768543,0.0208141060917144,0.0200137768394255,0.372030673329875,0.46732338835415,0.125773349827046,0.0206523565119674,0.402987580307922,0.0348943105707838,0.0309352101901842,0.0317487829789217,0.321218151118113,0.0280095081069222,0.0221133720780011,0.0586511577985251,23092.01,2.63607420091324
"23093.01",0.0184580634876395,0.0202073482074377,0.0208148387781218,0.0200148019562042,0.372036051499835,0.467329782087349,0.125778195128384,0.0206532255114191,0.402994957172291,0.0348956481092636,0.0309362619199256,0.0317503746666121,0.321223372909172,0.0280104088245571,0.0221141937203384,0.0586522529688442,23093.01,2.63618835616438
"23094.01",0.0184590339417157,0.0202083095866267,0.020815571492776,0.0200158271395042,0.372041429768726,0.467336175893462,0.125783040588892,0.0206540945554501,0.403002334098727,0.034896985733701,0.0309373137150212,0.0317519664544197,0.321228594800635,0.0280113095732095,0.0221150154172363,0.0586533481959241,23094.01,2.63630251141552
"23095.01",0.0184600044433466,0.0202092710144238,0.020816304235674,0.0200168523893271,0.37204680813654,0.467342569772468,0.125787886208573,0.0206549636440608,0.403009711087206,0.0348983234440997,0.0309383655754719,0.0317535583423484,0.321233816792487,0.0280122103528809,0.0221158371686936,0.0586544434797655,23095.01,2.63641666666667
"23096.01",0.0184609749925317,0.0202102324908288,0.0208170370068148,0.0200178777056737,0.372052186603269,0.467348963724347,0.125792731987427,0.0206558327772527,0.403017088137706,0.0348996612404576,0.0309394175012769,0.0317551503303981,0.321239038884724,0.0280131111635701,0.02211665897471,0.0586555388203653,23096.01,2.63653082191781
"23097.01",0.0184619455892702,0.0202111940158415,0.0208177698061983,0.020018903088546,0.372057565168898,0.467355357749077,0.125797577925452,0.0206567019550282,0.40302446525021,0.0349009991227749,0.0309404694924355,0.0317567424185737,0.32124426107733,0.0280140120052752,0.0221174808352866,0.0586566342177218,23097.01,2.63664497716895
"23098.01",0.0184629162335626,0.020212155589466,0.0208185026338248,0.0200199285379445,0.372062943833413,0.467361751846639,0.125802424022653,0.0206575711773861,0.403031842424699,0.0349023370910526,0.0309415215489522,0.0317583346068758,0.321249483370292,0.0280149128779987,0.0221183027504235,0.0586577296718332,23098.01,2.63675913242009
"23099.01",0.0184638869254083,0.0202131172117008,0.0208192354896947,0.0200209540538672,0.372068322596804,0.467368146017015,0.12580727027903,0.0206584404443255,0.40303921966115,0.0349036751452904,0.0309425736708276,0.0317599268953068,0.321254705763601,0.02801581378174,0.0221191247201201,0.0586588251826998,23099.01,2.63687328767123
"23100.01",0.0184648576648072,0.0202140788825476,0.0208199683738064,0.0200219796363162,0.372073701459061,0.467374540260185,0.125812116694578,0.0206593097558479,0.403046596959544,0.0349050132854902,0.0309436258580636,0.0317615192838687,0.321259928257248,0.0280167147164999,0.0221199467443755,0.0586599207503205,23100.01,2.63698744292237
