"TIME","age","BDW_M","TotalVolume_M","Hct_M","CardOut_M","TotalBloodFlow_M","QUr_M","GFR_M","PTC_kidneyTissue_M","SA_hands_M","V_skin_M","Q_skin_M","SA_skin_M","V_skinBarrier_M","V_skinPlasma_M","V_skinTissue_M","V_kidney_M","Q_kidney_M","V_kidneyPlasma_M","V_kidneyTissue_M","V_filtrate_M","V_gut_M","Q_gut_M","V_liver_M","Q_liver_M","Q_hepatic_M","V_plasma_M","Q_adipose_M","V_adipose_M","V_rest_M","Q_rest_M","AbsPFOA","kAbl","kAap","fup","PL","PF","PK","PSk","PR","PG","CLdermalabs_M","CL_PltPT_M","CL_FiltPT_M","CL_FiltPT_Prot_M","CLbiliary_M","CLfecal_M"
23895,65.4657534246575,74.1623582799999,75.9350248702824,0.4267872245,4686.7807157139,4686.7807157139,1.63157188216,168.026308705565,0.0216729358301001,797.174923177958,3.35213859425599,247.657540137203,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482262576892,933.479492808693,0.112133614527681,0.199348648049211,0.0155741131288446,1.03827301592,685.820880379947,1.83181101098105,309.572053857431,995.392934237378,3.23507273439784,370.337665282285,32.8504695968182,33.3157776553324,2139.91308324834,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088404060144,91.9147290595622,5124.05764945692,0.00403013546620843,5.22244081823126e-05
23896,65.4684931506849,74.1623582799999,75.934020998367,0.4267872245,4686.65297555,4686.65297555,1.63157188216,168.022079236179,0.0216729358160534,797.174923177958,3.35213859425599,247.65130639308,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482262375013,933.45599575655,0.112133614455005,0.199348647920008,0.0155741131187506,1.03827301592,685.803617703914,1.83181101052639,309.564261597205,995.367879301119,3.23507273439784,370.342369885852,32.8503057964138,33.314937584478,2139.8354242134,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088403870835,91.9147289999903,5124.05764613589,0.00403013546620843,5.22244081823126e-05
23897,65.4712328767123,74.1623582799999,75.9330169443389,0.4267872245,4686.52522429573,4686.52522429573,1.63157188216,168.017849374706,0.0216729358020145,797.174923177958,3.35213859425599,247.645072070953,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482262173246,933.432496526144,0.112133614382369,0.199348647790877,0.0155741131086623,1.03827301592,685.786353427255,1.831811010072,309.556468614522,995.342822041777,3.23507273439784,370.347073858417,32.850141870168,33.3140974573518,2139.75775979844,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088403681631,91.9147289404515,5124.05764281671,0.00403013546620843,5.22244081823126e-05
23898,65.4739726027397,74.1623582799999,75.9320127081979,0.4267872245,4686.39746195111,4686.39746195111,1.63157188216,168.013619121142,0.0216729357879835,797.174923177958,3.35213859425599,247.638837170815,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482261971594,933.408995117453,0.112133614309774,0.19934864766182,0.0155741130985797,1.03827301592,685.769087549951,1.83181100961789,309.548674909376,995.317762459327,3.23507273439784,370.3517771998,32.8499778180805,33.3132572739541,2139.68009000372,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088403492534,91.9147288809461,5124.05763949943,0.00403013546620843,5.22244081823126e-05
23899,65.4767123287671,74.1623582799999,75.931008289944,0.4267872245,4686.26968851613,4686.26968851613,1.63157188216,168.009388475481,0.0216729357739605,797.174923177958,3.35213859425599,247.632601692661,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482261770056,933.385491530452,0.11213361423722,0.199348647532836,0.0155741130885028,1.03827301592,685.751820071985,1.83181100916405,309.540880481758,995.292700553743,3.23507273439784,370.35647990982,32.8498136401512,33.3124170342849,2139.60241482945,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088403303544,91.9147288214747,5124.05763618401,0.00403013546620843,5.22244081823126e-05
23900,65.4794520547945,74.1623582799999,75.9300036895772,0.4267872245,4686.14190399078,4686.14190399078,1.63157188216,168.005157437721,0.0216729357599453,797.174923177958,3.35213859425599,247.626365636484,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482261568631,933.361985765119,0.112133614164707,0.199348647403924,0.0155741130784316,1.03827301592,685.734550993341,1.83181100871047,309.533085331661,995.267636325002,3.23507273439784,370.361181988297,32.8496493363799,33.3115767383444,2139.52473427588,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.08840311466,91.9147287620363,5124.05763287046,0.00403013546620843,5.22244081823126e-05
23901,65.4821917808219,74.1623582799999,75.9289989070976,0.4267872245,4686.01410837508,4686.01410837508,1.63157188216,168.000926007858,0.0216729357459381,797.174923177958,3.35213859425599,247.620129002279,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.31148226136732,933.338477821431,0.112133614092235,0.199348647275085,0.015574113068366,1.03827301592,685.717280314002,1.83181100825717,309.525289459077,995.242569773079,3.23507273439784,370.36588343505,32.8494849067667,33.3107363861326,2139.44704834324,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088402925884,91.9147287026319,5124.05762955878,0.00403013546620843,5.22244081823126e-05
23902,65.4849315068493,74.1623582799999,75.927993942505,0.4267872245,4685.88630166901,4685.88630166901,1.63157188216,167.996694185885,0.0216729357319388,797.174923177958,3.35213859425599,247.613891790038,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482261166122,933.314967699362,0.112133614019804,0.199348647146318,0.0155741130583061,1.03827301592,685.70000803395,1.83181100780414,309.517492863999,995.217500897949,3.23507273439784,370.370584249897,32.8493203513111,33.3098959776498,2139.36935703176,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088402737214,91.914728643261,5124.05762624896,0.00403013546620843,5.22244081823126e-05
23903,65.4876712328767,74.1623582799999,75.9269887957995,0.4267872245,4685.75848387259,4685.75848387259,1.63157188216,167.9924619718,0.0216729357179474,797.174923177958,3.35213859425599,247.607653999756,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482260965039,933.291455398891,0.112133613947414,0.199348647017625,0.015574113048252,1.03827301592,685.682734153169,1.83181100735138,309.509695546419,995.192429699588,3.23507273439784,370.37528443266,32.8491556700133,33.309055512896,2139.29166034169,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.08840254865,91.9147285839236,5124.05762294103,0.00403013546620843,5.22244081823126e-05
23904,65.4904109589041,74.1623582799999,75.9259834669811,0.4267872245,4685.6306549858,4685.6306549858,1.63157188216,167.988229365599,0.0216729357039638,797.174923177958,3.35213859425599,247.601415631426,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482260764068,933.267940919994,0.112133613875064,0.199348646889004,0.0155741130382034,1.03827301592,685.665458671641,1.83181100689889,309.501897506328,995.167356177969,3.23507273439784,370.379983983157,32.8489908628729,33.3082149918714,2139.21395827325,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088402360192,91.9147285246193,5124.05761963495,0.00403013546620843,5.22244081823126e-05
23905,65.4931506849315,74.1623582799999,75.9249779560497,0.4267872245,4685.50281500866,4685.50281500866,1.63157188216,167.983996367276,0.0216729356899882,797.174923177958,3.35213859425599,247.595176685043,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482260563211,933.244424262647,0.112133613802756,0.199348646760455,0.0155741130281606,1.03827301592,685.64818158935,1.83181100644667,309.49409874372,995.14228033307,3.23507273439784,370.384682901207,32.8488259298899,33.3073744145761,2139.13625082669,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088402171841,91.9147284653489,5124.05761633074,0.00403013546620843,5.22244081823126e-05
23906,65.4958904109589,74.1623582799999,75.9239722630053,0.4267872245,4685.37496394115,4685.37496394115,1.63157188216,167.979762976829,0.0216729356760205,797.174923177958,3.35213859425599,247.5889371606,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482260362467,933.220905426827,0.112133613730488,0.199348646631979,0.0155741130181234,1.03827301592,685.630902906277,1.83181100599472,309.486299258587,995.117202164864,3.23507273439784,370.38938118663,32.8486608710641,33.3065337810102,2139.05853800223,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088401983597,91.914728406112,5124.05761302839,0.00403013546620843,5.22244081823126e-05
23907,65.4986301369863,74.1623582799999,75.9229663878479,0.4267872245,4685.24710178329,4685.24710178329,1.63157188216,167.975529194252,0.0216729356620605,797.174923177958,3.35213859425599,247.582697058091,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482260161836,933.197384412511,0.112133613658261,0.199348646503575,0.0155741130080918,1.03827301592,685.613622622407,1.83181100554304,309.47849905092,995.092121673327,3.23507273439784,370.394078839245,32.8484956863953,33.3056930911739,2138.98081980012,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088401795456,91.9147283469078,5124.05760972789,0.00403013546620843,5.22244081823126e-05
23908,65.5013698630137,74.1623582799999,75.9219603305776,0.4267872245,4685.11922853506,4685.11922853506,1.63157188216,167.971295019541,0.0216729356481086,797.174923177958,3.35213859425599,247.576456377511,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482259961319,933.173861219675,0.112133613586075,0.199348646375244,0.015574112998066,1.03827301592,685.596340737722,1.83181100509163,309.470698120712,995.067038858434,3.23507273439784,370.398775858871,32.8483303758835,33.3048523450673,2138.90309622057,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088401607425,91.9147282877379,5124.05760642928,0.00403013546620843,5.22244081823126e-05
23909,65.5041095890411,74.1623582799999,75.9209540911942,0.4267872245,4684.99134419647,4684.99134419647,1.63157188216,167.967060452693,0.0216729356341645,797.174923177958,3.35213859425599,247.570215118852,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482259760915,933.150335848295,0.112133613513929,0.199348646246986,0.0155741129880458,1.03827301592,685.579057252206,1.83181100464049,309.462896467956,995.041953720162,3.23507273439784,370.403472245328,32.8481649395285,33.3040115426905,2138.82536726383,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088401419499,91.9147282286011,5124.05760313252,0.00403013546620843,5.22244081823126e-05
23910,65.5068493150685,74.1623582799999,75.9199476696978,0.4267872245,4684.86344876753,4684.86344876753,1.63157188216,167.962825493703,0.0216729356202282,797.174923177958,3.35213859425599,247.563973282109,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482259560624,933.126808298349,0.112133613441825,0.199348646118799,0.0155741129780312,1.03827301592,685.56177216584,1.83181100418962,309.455094092643,995.016866258483,3.23507273439784,370.408167998435,32.84799937733,33.3031706840437,2138.74763293015,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088401231678,91.9147281694974,5124.05759983762,0.00403013546620843,5.22244081823126e-05
23911,65.5095890410959,74.1623582799999,75.9189410660883,0.4267872245,4684.73554224822,4684.73554224822,1.63157188216,167.958590142566,0.0216729356062998,797.174923177958,3.35213859425599,247.557730867275,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482259360446,933.103278569812,0.112133613369761,0.199348645990685,0.0155741129680223,1.03827301592,685.544485478608,1.83181100373902,309.447290994766,994.991776473374,3.23507273439784,370.412863118011,32.8478336892881,33.3023297691269,2138.66989321975,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088401043964,91.9147281104271,5124.05759654458,0.00403013546620843,5.22244081823126e-05
23912,65.5123287671233,74.1623582799999,75.9179342803658,0.4267872245,4684.60762463855,4684.60762463855,1.63157188216,167.954354399279,0.0216729355923793,797.174923177958,3.35213859425599,247.551487874345,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482259160381,933.079746662662,0.112133613297737,0.199348645862644,0.0155741129580191,1.03827301592,685.527197190493,1.83181100328869,309.439487174317,994.96668436481,3.23507273439784,370.417557603876,32.8476678754025,33.3014887979404,2138.59214813286,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088400856356,91.9147280513904,5124.0575932534,0.00403013546620843,5.22244081823126e-05
23913,65.5150684931507,74.1623582799999,75.9169273125302,0.4267872245,4684.47969593853,4684.47969593853,1.63157188216,167.950118263838,0.0216729355784666,797.174923177958,3.35213859425599,247.545244303312,15943.4984635592,0.0662452361160883,0.268171087540479,3.08396750671551,0.311482258960428,933.056212576875,0.112133613225754,0.199348645734674,0.0155741129480214,1.03827301592,685.509907301478,1.83181100283862,309.431682631289,994.941589932767,3.23507273439784,370.422251455848,32.8475019356731,33.3006477704842,2138.51439766973,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0730849969569552,292.088400668853,91.9147279923868,5124.05758996406,0.00403013546620843,5.22244081823126e-05
