"TIME","age","BDW_F","TotalVolume_F","Hct_F","CardOut_F","TotalBloodFlow_F","QUr_F","GFR_F","PTC_kidneyTissue_F","SA_hands_F","V_skin_F","Q_skin_F","SA_skin_F","V_skinBarrier_F","V_skinPlasma_F","V_skinTissue_F","V_kidney_F","Q_kidney_F","V_kidneyPlasma_F","V_kidneyTissue_F","V_filtrate_F","V_gut_F","Q_gut_F","V_liver_F","Q_liver_F","Q_hepatic_F","V_plasma_F","Q_adipose_F","V_adipose_F","V_rest_F","Q_rest_F","AbsPFOA","fBAc_dust","fBAc_cosm","kAbl","kAap","fup","PL","PF","PK","PSk","PR","PG","CLdermalabs_F","CL_PltPT_F","CL_FiltPT_F","CLbiliary_F","CLfecal_F"
16695,45.7397260273973,62.9549056699908,72.5092703929848,0.3645030844,4376.74824161942,4376.74824161942,1.3850079247398,138.336586968513,0.020150296811972,714.767990601229,2.41117288716065,223.968563691496,14295.3598120246,0.0593972200189621,0.192893830972852,2.2182790561878,0.289598976889508,768.536594269514,0.104255631680223,0.185343345209285,0.0144799488444754,1.00727849071985,724.604176648959,1.47033971349892,286.129367239874,1010.73354388883,2.60049714438593,432.246853914553,38.7963007015047,25.9340824788252,1941.26268585502,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783207,592.351936020265,4764.06534525946,0.00396464447991793,5.22158525388611e-05
16696,45.7424657534247,62.9549056699909,72.5096034458117,0.3645030844,4376.66066901356,4376.66066901356,1.3850079247398,138.333925012942,0.0201502965419712,714.76799060123,2.41117288716065,223.964256955049,14295.3598120246,0.0593972200189622,0.192893830972852,2.2182790561878,0.289598973009071,768.521805627456,0.104255630283266,0.185343342725805,0.0144799486504536,1.00727849071985,724.590243089865,1.47033854703582,286.123638210511,1010.71388130038,2.60049714438593,432.243774029486,38.7969067824192,25.9338106210812,1941.21695110119,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.351928083136,4764.0652814241,0.00396464447991793,5.22158525388611e-05
16697,45.7452054794521,62.9549056699909,72.5099362926891,0.3645030844,4376.57310290571,4376.57310290571,1.3850079247398,138.331263266949,0.0201502962721337,714.76799060123,2.41117288716065,223.959950555977,14295.3598120246,0.0593972200189622,0.192893830972852,2.2182790561878,0.289598969130982,768.507018149714,0.104255628887154,0.185343340243828,0.0144799484565491,1.00727849071985,724.576310622279,1.47033738096254,286.117909696745,1010.69422031902,2.60049714438593,432.24069526495,38.7975126923811,25.9335387279481,1941.17121861604,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.35192015081,4764.06521762737,0.00396464447991793,5.22158525388611e-05
16698,45.7479452054795,62.9549056699909,72.5102689336168,0.3645030844,4376.4855432959,4376.4855432959,1.3850079247398,138.328601730532,0.0201502960024597,714.76799060123,2.41117288716065,223.955644494283,14295.3598120246,0.0593972200189622,0.192893830972852,2.2182790561878,0.289598965255241,768.49223183629,0.104255627491887,0.185343337763354,0.014479948262762,1.00727849071985,724.56237924621,1.47033621527896,286.112181698548,1010.67456094476,2.60049714438593,432.237617620932,38.7981184313903,25.9332667994259,1941.12548839964,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.351912223286,4764.06515386926,0.00396464447991793,5.22158525388611e-05
16699,45.7506849315068,62.9549056699909,72.510601368595,0.3645030844,4376.39799018411,4376.39799018411,1.3850079247398,138.325940403694,0.0201502957329488,714.76799060123,2.41117288716065,223.951338769968,14295.3598120246,0.0593972200189622,0.192893830972852,2.2182790561878,0.289598961381846,768.477446687187,0.104255626097465,0.185343335284381,0.0144799480690923,1.00727849071985,724.548448961662,1.47033504998493,286.106454215892,1010.65490317755,2.60049714438593,432.234541097421,38.7987239994466,25.9329948355152,1941.07976045198,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.351904300562,4764.06509014974,0.00396464447991793,5.22158525388611e-05
16700,45.7534246575342,62.9549056699909,72.5109335976234,0.3645030844,4376.31044357034,4376.31044357034,1.3850079247398,138.323279286434,0.0201502954636012,714.76799060123,2.41117288716065,223.947033383035,14295.3598120246,0.0593972200189622,0.192893830972852,2.2182790561878,0.289598957510796,768.462662702409,0.104255624703887,0.185343332806909,0.0144799478755398,1.00727849071986,724.534519768643,1.47033388508033,286.100727248749,1010.63524701739,2.60049714438593,432.231465694403,38.7993293965499,25.9327228362159,1941.0340347731,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.351896382633,4764.0650264688,0.00396464447991793,5.22158525388611e-05
16701,45.7561643835616,62.954905669991,72.5112656207023,0.3645030844,4376.2229034546,4376.2229034546,1.3850079247398,138.320618378752,0.0201502951944165,714.767990601231,2.41117288716065,223.942728333486,14295.3598120246,0.0593972200189623,0.192893830972852,2.2182790561878,0.289598953642088,768.447879881957,0.104255623311152,0.185343330330936,0.0144799476821044,1.00727849071986,724.52059166716,1.47033272056504,286.095000797091,1010.61559246425,2.60049714438593,432.228391411866,38.7999346227003,25.9324508015284,1940.98831136304,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.351888469495,4764.06496282639,0.00396464447991793,5.22158525388611e-05
16702,45.758904109589,62.954905669991,72.5115974378315,0.3645030844,4376.13536983688,4376.13536983688,1.3850079247398,138.31795768065,0.0201502949253948,714.767990601231,2.41117288716066,223.938423621322,14295.3598120246,0.0593972200189623,0.192893830972853,2.21827905618781,0.289598949775723,768.433098225836,0.10425562191926,0.185343327856463,0.0144799474887862,1.00727849071986,724.506664657218,1.47033155643891,286.08927486089,1010.59593951811,2.60049714438594,432.225318249798,38.8005396778977,25.9321787314527,1940.94259022182,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.35188056115,4764.06489922252,0.00396464447991793,5.22158525388611e-05
16703,45.7616438356164,62.954905669991,72.511929049011,0.3645030844,4376.04784271718,4376.04784271718,1.3850079247398,138.315297192129,0.0201502946565359,714.767990601231,2.41117288716066,223.934119246546,14295.3598120246,0.0593972200189623,0.192893830972853,2.21827905618781,0.289598945911697,768.418317734048,0.104255620528211,0.185343325383486,0.0144799472955848,1.00727849071986,724.492738738827,1.47033039270183,286.083549440118,1010.57628817895,2.60049714438594,432.222246208187,38.8011445621418,25.9319066259892,1940.89687134945,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.351872657588,4764.06483565713,0.00396464447991793,5.22158525388611e-05
16704,45.7643835616438,62.954905669991,72.5122604542408,0.3645030844,4375.96032209551,4375.96032209551,1.3850079247398,138.312636913187,0.0201502943878398,714.767990601231,2.41117288716066,223.92981520916,14295.3598120246,0.0593972200189623,0.192893830972853,2.21827905618781,0.289598942050011,768.403538406596,0.104255619138004,0.185343322912007,0.0144799471025006,1.00727849071986,724.47881391199,1.47032922935365,286.077824534746,1010.55663844674,2.60049714438594,432.21917528702,38.8017492754328,25.9316344851379,1940.851154746,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0655299293783208,592.351864758813,4764.06477213023,0.00396464447991793,5.22158525388611e-05
