chemical,parameter,approach,species,value_average,range_value,unit,plasma/serum/ blood,n ,source,doi,comment,comment 2,comment 3
pfoa,kidney_concentration,in vivo,human,0.317,0.173,ng/ml kidney,,19,Nielsen et al,https://doi.org/10.1021/acs.est.3c06499,"From medicolegal autopises, initial value: 0.317 ng/g kidney",,
pfoa,liver_concentration,in vivo,human,0.324,0.159,ng/ml liver,,19,Nielsen et al,https://doi.org/10.1021/acs.est.3c06499,"From medicolegal autopises, initial value: 0.324 ng/g liver",,
pfoa,blood_concentration ,in vivo,human,0.278,0.18,ng/ml,,19,Nielsen et al,https://doi.org/10.1021/acs.est.3c06499,,,
pfhxs,Free fraction / unbound fraction,,,<0.025,,,,,EFSA 2020 (p.64),,,,
pfhxs,Free fraction / unbound fraction,,,0.0002,,,whole blood,,Kim et al. 2018,,"The HSA binding affinities of perfluorohexanesulfonic acid (PFHxS) and perfluoroheptanoic acid (PFHpA) were exceptionally high (Log KA: 4.99 ñ 0.44 and 5.53 ñ 0.39, respectively). These observations are consistent with long blood plasma elimination half-lives reported for PFHxS in humans [54,55] and for PFHpA and PFHxS in pigs [56]. -Li2021",,
pfhxs,Free fraction / unbound fraction,,,0.0009,,,,,Smeltz 2023,,,,
pfhxs,Free fraction / unbound fraction,in vivo,mice,0.0884,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,Free fraction / unbound fraction,in vivo,?,0.025,,,,,Fragki et al. 2023,https://doi.org/10.1016/j.fct.2022.113559,based on PFOS,,
pfhxs,Free fraction / unbound fraction,in vivo,?,0.005,,,,,"Fabrega et al., 2015",https://doi.org/10.1080/02772248.2015.1060976 ,"also used by Sweeney et al., 2022",,
pfoa,absorbed fraction,in vivo, rats (males),0.93,,,,,"Cui et al., 2010",10.1007/s00244-009-9336-5,24ÿh,Gavage,
pfos,Free fraction / unbound fraction,in vivo,mice,0.043,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,Free fraction / unbound fraction,in vivo,diary cow,0.04,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfoa,HalfLife,in vivo,human,2.3,,year,serum,200 (M+F),Bartell et al. 2010,10.1289/ehp.0901252,"From EFSA scientific opinion, Table 15",average,
pfoa,HalfLife,,rats,13.4,,day,blood,4,"Benskin et al., 2009",,,,
pfhxs,HalfLife,,human,4,,year,,,"CDC (2019, 2020)",,U.S. NHANES participants,,
pfna,HalfLife,in vivo,human,2.35,1.65-3.16,year,,,"Chiu et al., 2022",https://doi.org/10.1289/EHP10103,,,
pfoa,HalfLife,,human,3.14,2.69-3.73,year,,,"Chiu et al., 2022",https://doi.org/10.1289/EHP10103,,,
pfhxs,HalfLife,in vivo ,human,8.3,5.38-13.5,year,,,"Chiu et al., 2022",https://doi.org/10.1289/EHP10103,,,
pfhxs,HalfLife,in silico (ML),human,13,,year,serum,,"Dawson et al., 2023",https://doi.org/10.3390/toxics11020098,"female / ref associated: Zhang et al., 2013 ; Worley et al., 2017 ; Xu et al., 2020 ; Li et al., 2018",,
pfhxs,HalfLife,in silico (ML),human,14,,year,serum,,"Dawson et al., 2023",https://doi.org/10.3390/toxics11020098,"male / ref associated: Zhang et al., 2013 ; Worley et al., 2017 ; Xu et al., 2020 ; Li et al., 2018",,
pfna,HalfLife,in silico (ML),human,1.7,,year,serum,,"Dawson et al., 2023",https://doi.org/10.3390/toxics11020098,"female / ref associated: Zhang et al., 2013",,
pfna,HalfLife,in silico (ML),human,3.2,,year,serum,,"Dawson et al., 2023",https://doi.org/10.3390/toxics11020098,"male / ref associated: Zhang et al., 2013",,
pfos,HalfLife,in vivo,human,5.4,,year,serum/plasma,,"Fabrega et al., 2015",10.1080/02772248.2015.1060976,"from (Lau 2012: Lau, C. 2012. ?Perfluoroalkyl Acids: Recent Research Highlights.? Reproductive Toxicology 33: 405?409.) and Lau from Bartell, Olsen, Lou 2009 and Hanhijarvi 1988",,
pfoa,HalfLife,in vivo,human,3.05,2.3?3.8,year,serum/plasma,,"Fabrega et al., 2015",10.1080/02772248.2015.1060976,"from (Lau 2012: Lau, C. 2012. ?Perfluoroalkyl Acids: Recent Research Highlights.? Reproductive Toxicology 33: 405?409.) and Lau from Bartell, Olsen, Lou 2009 and Hanhijarvi 1988",,
pfhxs,HalfLife,in vivo,human,8.5,,year,serum/plasma,,"Fabrega et al., 2015",10.1080/02772248.2015.1060976,"from (Lau 2012: Lau, C. 2012. ?Perfluoroalkyl Acids: Recent Research Highlights.? Reproductive Toxicology 33: 405?409.) and Lau from Bartell, Olsen, Lou 2009 and Hanhijarvi 1988",,
pfna,HalfLife,in vivo,human,1.2?4.3,1.2?4.3,year,serum,,Fenton2021,10.1002/etc.4890,,,
pfoa,HalfLife,in vivo,human,1.7,,year,serum,207 (M+F),Fu et al. 2016,https://doi.org/10.1038/srep38039,"From EFSA scientific opinion, Table 15 ; China",average,
pfos,HalfLife,in vivo,human,1.9,,year,serum,M + F (n = 207),Fu et al. 2016,https://doi.org/10.1038/srep38039,"From EFSA scientific opinion, Table 15",average,
pfhxs,HalfLife,in vivo,human,8.5,,year,serum,,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.017,"from Olsen et al., 2007, Sundstrom et al., 2012, Taylor et al., 2014 b; Tillett, 2010 b",,
pfhxs,HalfLife,in vivo,human,7.7,,year,serum,,"Kim et al., 2018",https://doi.org/10.1007/s00204-017-2116-5,"female ; Sundstrom et al., 2012,  average from Olsen et al 2007",,
pfhxs,HalfLife,in vivo,human,35,,year,serum,,"Kim et al., 2018",https://doi.org/10.1007/s00204-017-2116-5,"male ; associated publication: Sundstrom et al., 2012;average from Olsen et al 2007",,
pfhxs,HalfLife,in vivo,human,4.7,,year,serum,30 (F),Li 2018,10.1136/oemed-2017-104651,"n = 30 only women, contaminated water","From EFSA scientific opinion, Table 15",
pfhxs,HalfLife,in vivo,human,7.4,,year,serum,20 (M),Li 2018,10.1136/oemed-2017-104651,"n= 20 only males, , contaminated water","From EFSA scientific opinion, Table 15",
pfhxs,HalfLife,in vivo ,human,5.3,,year,serum,,Li 2018,10.1136/oemed-2017-104651,upper bound of the 95%CI,,
pfhxs,Free fraction / unbound fraction,in vivo,beef cattle,0.018,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,HalfLife,in vivo,human,3.1,,year,serum,F (n = 30),"Li et al., 2018",10.1136/oemed-2017-104651,"From EFSA scientific opinion, Table 15",average,
pfoa,HalfLife,,human,2.3,,years,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,"cit. Husoy et al., 2023",,
pfhxs,HalfLife,in vivo,human,5.3,,year,serum,,"Ojo et al., 2021",https://doi.org/10.1016/j.jhazmat.2020.124863,"mixed; ref associated: Li et al., 2018",,
pfna,HalfLife,in vivo ,human,1.7-3.2,,year,serum,,"Ojo et al., 2021",https://doi.org/10.1016/j.jhazmat.2020.124863,"mixed / ref assocated: Zhang et al., 2013b",,
pfhxs,HalfLife,in vivo,human,8.5,,year,serum,26,Olsen 2007,10.1289/ehp.10009,"n = 26 (2women, 24 males)","From EFSA scientific opinion, Table 15",
pfhxs,partition coefficient,in vivo ,human,0.12,,,plasma,64,"Baumert et al., 2023",10.1021/acs.est.3c02765,"(teenagers >>> bmi)
0.13ñ0.04 N=27;  0.12ñ0.04 N=37 (adolescents, mean 16.7 years)",,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,0.72,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,not for plasma,,
pfhxs,partition coefficient,,,0.4,,,,,"Chen et al., 2017",,calculated geom_mean table s4 (China population),,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,0.5,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,not for plasma,,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,0.28,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,not for plasma,,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,3.27,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,not for plasma,,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,1.27,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,not for plasma,,
pfhxs,partition coefficient,in silico (QSAR),,0.32955,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,0.81,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfhxs,partition coefficient,in vivo,mice,0.25,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,partition coefficient,in vivo,rats,0.85,,,,,"Fragki et al., 2023",,"(cit. National Toxicology Program. 2019 (TOX97), https://doi.org/10.22427/NTP-TOX-97 ",,
pfhxs,partition coefficient,,,0.85,,,,,"Gutzkow et al., 2012",,Calculated (mean) / median: 0.65,,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,0.23,,,plasma,"5 (M), 2(F)","Brochot et al., 2019",10.1016/j.taap.2019.114640,"cit. Maestri et al 2006, Zhang et al., 2013 / Tissue:plasma partition coefficients were obtained by scaling the tis-
sue:blood partition coefficients with a plasma to blood ratio equal to 2.0 for PFOA and 2.3 for PFOS (Ehresman et al., 2007).","aged from 12 to 83 years, coming from northern Italy",
pfhxs,partition coefficient,in silico (QSAR),,0.14235,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,in silico (QSAR),,0.03581,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfoa,HalfLife,in vivo,human,3.8,,year,serum,"24 (M), 2 (F)",Olsen et al. 2007,10.1289/ehp.10009,"From EFSA scientific opinion, Table 15",average,
pfos,HalfLife,in vivo,human,5.4,,year,serum,"M (n = 24), F (n = 2)",Olsen et al. 2007,10.1289/ehp.10009,"From EFSA scientific opinion, Table 15",average,
pfos,HalfLife,in vivo ,rodent,,,,,,"Pizzurro et al., 2019",https://doi.org/10.1016/j.yrtph.2019.05.008,,,
pfhxs,partition coefficient,in silico (QSAR),,0.35325,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,in silico (QSAR),,0.21585,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,in silico (QSAR),,0.8575,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,in silico (QSAR),,0.36205,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,in silico (QSAR),,0.24,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,in silico (QSAR),,0.28385,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,in silico (QSAR),,0.1458,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfhxs,partition coefficient,,,0.365,,,,,Kang 2021,,"serum, korean population",,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,0.73,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfhxs,partition coefficient,in vivo,rats,0.065,,,,,Sweeney 2022 ,https://doi.org/10.1016/j.yrtph.2021.105099,(cit. Kim et al. 2018) estimated from RATS study,,
pfhxs,partition coefficient,in vivo,rats,0.06,,,,,Sweeney 2022 ,https://doi.org/10.1016/j.yrtph.2021.105099,(cit. Kim et al. 2018) estimated from RATS study,,
pfhxs,partition coefficient,,beef cattle,0.27,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfhxs,partition coefficient,,dairy cow,0.4,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,0.54,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,0.79,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfhxs,partition coefficient,in vivo,mice,0.12,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,partition coefficient,,,0.29,,,,,"Fragki et al., 2023",https://doi.org/10.1016/j.fct.2022.113559,,,
pfhxs,partition coefficient,in vivo,mice,0.17,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,partition coefficient,in vivo,mice,0.16,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,partition coefficient,"in vivo (post mortem, autopsy)",human,1.7,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,from CV,,
pfhxs,partition coefficient,in vivo,rats,0.13,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,0.13 ñ 0.03 (male) 0.08 ñ 0.02 (female) (N=5),,
pfhxs,partition coefficient,in vivo,rats,0.02,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,0.13 ñ 0.03 (male) 0.08 ñ 0.02 (female) (N=5),,
pfhxs,partition coefficient,in vivo,mice,0.0165,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,partition coefficient,,,0.26,,,,,,,"if similar to PFOS (data NA in Mamsen et al., 2019)",,
pfhxs,partition coefficient,,,,,,,,,,,,
pfhxs,partition coefficient,,rats,0.57,,,,,"Fragki et al., 2023",,,,
pfhxs,partition coefficient,,,,,,,,,,,,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,37.8,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,2.66,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfhxs,partition coefficient,,,0.3,,,,,"Fragki et al., 2023",,based on PFOS,,
pfna,partition coefficient,,,0.6,,,,,"Fragki et al., 2023",,based on PFOA,,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,36.02,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,19.47,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfna,partition coefficient,,,0.45,,,,,"Gutzkow et al., 2012",,Calculated (mean) / median: 0.35,,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,1.65,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfna,partition coefficient,,,0.24,,,,,"Mamsen et al., 2019",,"calculated, supposed: ratio serum:plasma = 1",,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,0.7,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,0.7,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,0.69,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,0.57,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,from Carolina,,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,0.77,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfna,partition coefficient,"in vivo (post mortem, autopsy)",human,0.9,,,whole blood,19,Nielsen et al. 2024,10.1021/acs.est.3c06499,"Obtained in 2020?2021 from 19 medicolegal autopsies of sudden deaths within the 24h, that required forensic examination. All subjects resided in the region of Southern Denmark.",,
pfna,partition coefficient,in vivo,rats,1.46,,,,,"Fragki et al., 2023",,"(cit. National Toxicology Program. 2019 (TOX97), https://doi.org/10.22427/NTP-TOX-97 ",,
pfoa,partition coefficient,in vivo,human,"0.20;
0.23",,,,"27;
37","Baumert et al., 2023",https://doi.org/10.1021/acs.est.3c02765,0.20ñ0.12 (N=27); 0.23ñ0.15 (N=37) ;  mean 16.7 years ; BIOPSY adolescents,,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.14,,,,,"Brochot et al., 2019",10.1016/j.taap.2019.114640,"cit. Maestri et al 2006, Zhang et al., 2013 / Tissue:plasma partition coefficients were obtained by scaling the tis-
sue:blood partition coefficients with a plasma to blood ratio equal to 2.0 for PFOA and 2.3 for PFOS (Ehresman et al., 2007).","aged from 12 to 83 years, coming from northern Italy",
pfhxs,partition coefficient,,,0.2,,,,,"Fragki et al., 2023",,,,
pfhxs,partition coefficient,,,0.029,,,,,Sweeney 2022,,,,
pfhxs,partition coefficient,,,0.0085,,,,,Sweeney 2022,,,,
pfoa,partition coefficient,,human,0.58,,,plasma,,"Brochot et al., 2019",10.1016/j.taap.2019.114640,,,
pfoa,partition coefficient,,human,0.1,,,plasma,,"Brohot et al., 2019",10.1016/j.taap.2019.114640,,,
pfoa,partition coefficient,in vivo,dairy cows,1.2,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfoa,partition coefficient,in vivo,beef cattle,1.03,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfoa,partition coefficient,in vivo,dairy cow,1.5,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfoa,partition coefficient,in vivo,beef cattle,0.48,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfhxs,partition coefficient,,,0.015,,,,,Sweeney 2022,,,,
pfhxs,partition coefficient,,,0.009,,,,,Sweeney 2022,,,,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,0.37,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,18.73,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,0.62,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,9.08,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,4.23,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.32,,,plasma,20,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Loccisano et al., 2013; Rovira et al., 2019",not in plasma for Fabrega <!> ,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,1.17,,,,,"Fabrega et al., 2016",,,,
pfoa,partition coefficient,in vivo,rats (male),2.31,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,2.31 ñ 0.38 (male),,
pfoa,partition coefficient,in vivo,rats (female),0.81,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,0.81 ñ 0.36 (female) ,,
pfoa,partition coefficient,in vivo,rats,1.18,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,1.18ñ 0.47 (M),,
pfoa,partition coefficient,in vivo,rats,1.23,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,1.23ñ 0.39 (F),,
pfoa,partition coefficient,in vivo,rats,1.05,,,plasma,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007) RATS,,
pfoa,partition coefficient,in vivo,rats,0.1,,,plasma,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007) RATS,,
pfoa,partition coefficient,,human,0.1,,,plasma,,"Brochot et al., 2019",10.1016/j.taap.2019.114640,,,
pfoa,partition coefficient,,rats,0.05,,,plasma,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007) RATS,,
pfoa,partition coefficient,in vivo,rats,2.2,,,plasma,,"Loccisano et al., 2011 ",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007) RATS,,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,0.47,,,plasma,20,Fabrega et al. 2016,https://doi.org/10.1016/j.yrtph.2016.03.009,tissues data from P‚rez et al. 2013,,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.33,,,,20,Fabrega et al. 2016,https://doi.org/10.1016/j.yrtph.2016.03.009,tissues data from P‚rez et al. 2013,,
pfos,resorption maximum constant,,human,3.5-5.5,,æg/h/kg^0.75,,,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Rovira et al., 2019",,
pfhxs,HalfLife,in vivo ,rodent,,,,,,"Pizzurro et al., 2019",https://doi.org/10.1016/j.yrtph.2019.05.008,,,
pfoa,HalfLife,in vivo ,rodent,,,,,,"Pizzurro et al., 2019",https://doi.org/10.1016/j.yrtph.2019.05.008,,,
pfoa,HalfLife,,human,2.75,1.88-3.63,year,,,"Rosato et al., 2023",https://doi.org/10.1016/j.envres.2023.117743,,,
pfhxs,HalfLife,in vivo ,human,5.35,3.16 - 7.55,year,,,"Rosato et al., 2023",https://doi.org/10.1016/j.envres.2023.117743,,,
pfoa,HalfLife,in vivo,human,2.9,,year,serum,643 (M+F),Seals et al. 2011,10.1289/ehp.1002346,"From EFSA scientific opinion, Table 15",average,
pfoa,HalfLife,in vivo,human,8.5,,year,serum,1029,Seals et al. 2011,10.1289/ehp.1002346,"From EFSA scientific opinion, Table 15",average,
pfhxs,HalfLife,in vivo,human,7.3-8.2,,year,serum,,"Sundstr”m et al., 2012",10.1016/j.reprotox.2011.07.004,"Sliethoff et al., 2008, in correlation with Olsen et al., 2007",,
pfos,HalfLife,in vivo ,human,4.7,,year,serum,"M (n = ca 1,000)","Wong et al., 2014",10.1021/es500796y,"From EFSA scientific opinion, Table 15",average,
pfos,HalfLife,in vivo ,human,4.3,,year,serum,"F (n = ca 1,000)","Wong et al., 2015",10.1021/es500796y,"From EFSA scientific opinion, Table 15",average,
pfoa,HalfLife,in vivo,human,3.9,,year,serum,"22 (M), 23 (F)",Worley et al. 2017,https://doi.org/10.1016/j.envint.2017.06.007,"From EFSA scientific opinion, Table 15",average,
pfos,HalfLife,in vivo,human,3.3,,year,serum,"M (n = 22), F (n = 23)",Worley et al. 2017,https://doi.org/10.1016/j.envint.2017.06.007,"From EFSA scientific opinion, Table 15",average,
pfos,HalfLife,in vivo,human,4.6,,year,serum,M (n = 20),Worley et al. 2017,https://doi.org/10.1016/j.envint.2017.06.007,"From EFSA scientific opinion, Table 15",average,
pfhxs,HalfLife,in vivo,human,15.5,,year,serum,55,"Worley et al., 2017",https://doi.org/10.1016/j.envint.2017.06.007,"n = 55, both sex","From EFSA scientific opinion, Table 15","Wong F, MacLeod M, Mueller JF and Cousins IT, 2015. Response to Comment on ?Enhanced Elimination of"
