chemical,parameter,approach,species,value_average,range_value,unit,plasma/serum/ blood,n ,source,doi,comment,comment 2,comment 3
pfoa,partition coefficient,,beef cattle,0.089,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfoa,partition coefficient,in vivo,mice,0.2,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfoa,partition coefficient,in vivo,mice,0.18,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfoa,partition coefficient,in vivo,mice,0.0409,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfoa,partition coefficient,in vivo,mice,1.03,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,partition coefficient,,,0.14,,,,,"Fragki et al., 2023",https://doi.org/10.1016/j.fct.2022.113559,based on PFOS,,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.35,,,plasma,20,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Loccisano et al., 2013; Rovira et al., 2019",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.05,,,plasma,20,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Loccisano et al., 2013; Rovira et al., 2019",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,1.21,,,plasma,20,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Loccisano et al., 2013; Rovira et al., 2019",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,8.7,,,plasma,20,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Loccisano et al., 2013; Rovira et al., 2019",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,17.94,,,plasma,20,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Loccisano et al., 2013; Rovira et al., 2019",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.11,,,plasma,20,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Loccisano et al., 2013; Rovira et al., 2019",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.36,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.11,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,5.54,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,1.27,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfoa,partition coefficient,,rats,0.12,,,plasma,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007) RATS,,
pfos,partition coefficient,in vivo,mice,0.27,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfos,partition coefficient,in vivo,mice,0.74,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfos,partition coefficient,in vivo,mice,0.087,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,2.56,,,plasma,20,Deepika et al. 2021,https://doi.org/10.1016/j.envres.2021.111287,"from Fabrega et al., 2016; Loccisano et al., 2013; Rovira et al., 2019",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,7.48,,,whole blood,20,Fabrega et al. 2015,10.1080/02772248.2015.1060976,"not for plasma, tissues data from P‚rez et al. 2013",,
pfos,partition coefficient,in vivo,mice,5.31,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfoa,urinary elimination rate,in silico,human,0.1,,/h/ kg- 0.25,,,"Loccisano et al., 2013",https://doi.org/10.1080/15287394.2012.722523,"Urinary elimination rate constants were scaled as BW?0.25 and estimated by fitting the model to the
data of Harada et al. (2005), where serum and urine PFOA and PFOS concentrations were measured",,
pfoa,urinary elimination rate,in silico,human,0.005,,/h,,,"Loccisano et al., 2013",https://doi.org/10.1080/15287394.2012.722523,"Urinary elimination rate constants were scaled as BW?0.25 and estimated by fitting the model to the
data of Harada et al. (2005), where serum and urine PFOA and PFOS concentrations were measured",,
pfoa,urinary elimination rate,,beef cattle,0.5,,/h/ kg- 0.25,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,partition coefficient,in vivo,rats,3.72,,,,,"Loccisano et al., 2011 ",10.1016/j.yrtph.2010.12.004,,,
pfoa,urinary elimination rate,,,0.1,,/h/ kg- 0.25,,,"Rurark et al., 2017",10.1016/j.envint.2016.11.030 ,,,
pfoa,resorption maximum constant,,monkey,0.15,,mg/h/kg^0.75,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,,,
pfoa,resorption maximum constant,,human,10,,mg/h/kg^0.75,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(human; 3.8 yrs)(plasma half-lifes) from monkey data,,
